time,open,high,low,close,ema12,ema26
2026.08.13 20:00,4366.90,4373.29,4355.53,4355.91,4378.1848521623,4387.1531206802
2026.08.13 21:00,4355.90,4363.51,4354.65,4356.94,4374.9164133681,4384.9151117409
2026.08.13 22:00,4356.98,4358.86,4343.58,4350.10,4371.0985036192,4382.3362145750
2026.08.14 01:00,4340.87,4362.77,4339.71,4354.61,4368.5618107547,4380.2824209027
2026.08.14 02:00,4354.61,4364.09,4349.13,4356.35,4366.6830706386,4378.5096489840
2026.08.14 03:00,4356.22,4362.02,4329.09,4340.96,4362.7256751557,4375.7281935037
2026.08.14 04:00,4340.92,4341.40,4312.11,4318.14,4355.8663405164,4371.4624013923
2026.08.14 05:00,4318.14,4322.86,4310.73,4315.62,4349.6745958215,4367.3259272151
2026.08.14 06:00,4315.71,4328.24,4313.67,4323.46,4345.6415810798,4364.0765992733
2026.08.14 07:00,4323.43,4328.02,4322.69,4326.91,4342.7597993752,4361.3235178456
2026.08.14 08:00,4326.86,4333.45,4310.93,4333.44,4341.3259840867,4359.2580720793
2026.08.14 09:00,4333.62,4336.59,4327.87,4335.54,4340.4358326887,4357.5011778512
2026.08.14 10:00,4335.55,4345.22,4329.74,4343.63,4340.9272430443,4356.4736831955
2026.08.14 11:00,4343.68,4349.67,4341.84,4348.61,4342.1092056529,4355.8911881440
2026.08.14 12:00,4348.61,4357.46,4346.04,4357.15,4344.4231740140,4355.9844334667
2026.08.14 13:00,4357.16,4358.65,4348.22,4349.30,4345.1734549349,4355.4892902469
2026.08.14 14:00,4349.33,4369.42,4348.33,4369.20,4348.8698464834,4356.5048983768
2026.08.14 15:00,4369.23,4386.74,4365.64,4373.65,4352.6821777936,4357.7749059044
2026.08.14 16:00,4373.69,4396.87,4370.18,4384.41,4357.5633812100,4359.7478758374
2026.08.14 17:00,4384.53,4394.68,4378.82,4381.43,4361.2351687162,4361.3539591087
2026.08.14 18:00,4381.43,4394.74,4378.86,4391.56,4365.9005273752,4363.5914436192
2026.08.14 19:00,4391.58,4396.60,4380.22,4385.88,4368.9742923944,4365.2424477956
2026.08.14 20:00,4385.95,4386.44,4376.28,4378.43,4370.4290166414,4366.2193035144
2026.08.14 21:00,4378.45,4382.74,4370.71,4373.48,4370.8983986966,4366.7571328837
2026.08.14 22:00,4373.48,4379.88,4372.10,4376.00,4371.6832604356,4367.4417897071
2026.08.17 01:00,4375.27,4386.84,4276.43,4385.89,4373.8689126763,4368.8083238029
2026.08.17 02:00,4385.92,4386.23,4367.16,4370.25,4373.3121568799,4368.9151146323
2026.08.17 03:00,4370.28,4402.05,4368.00,4400.71,4377.5272096676,4371.2702913262
2026.08.17 04:00,4400.71,4416.33,4391.92,4395.63,4380.3122543341,4373.0747141909
2026.08.17 05:00,4395.58,4398.19,4388.16,4393.08,4382.2765228981,4374.5565872138
2026.08.17 06:00,4393.11,4397.61,4387.87,4397.02,4384.5447501446,4376.2205437165
2026.08.17 07:00,4397.06,4399.49,4388.87,4390.71,4385.4932501223,4377.2938367746
2026.08.17 08:00,4390.71,4401.24,4386.92,4394.75,4386.9173654881,4378.5868859024
2026.08.17 09:00,4394.83,4404.49,4392.69,4403.04,4389.3977707976,4380.3982276874
2026.08.17 10:00,4403.04,4411.32,4395.95,4405.18,4391.8258060595,4382.2339145253
2026.08.17 11:00,4405.21,4405.21,4392.51,4395.00,4392.3141435888,4383.1795504864
2026.08.17 12:00,4394.99,4400.58,4392.43,4395.56,4392.8135061136,4384.0966208208
2026.08.17 13:00,4395.58,4405.69,4391.76,4398.97,4393.7606590192,4385.1983526118
2026.08.17 14:00,4399.10,4404.89,4395.36,4396.67,4394.2082499393,4386.0481042702
2026.08.17 15:00,4396.66,4398.82,4377.17,4384.89,4392.7746730256,4385.9623187687
2026.08.17 16:00,4384.90,4416.20,4381.83,4408.65,4395.2170310217,4387.6428877488
2026.08.17 17:00,4408.48,4427.62,4403.71,4417.30,4398.6144108645,4389.8397108785
2026.08.17 18:00,4417.30,4427.81,4415.13,4427.50,4403.0583476546,4392.6293619246
